sentence	paraphrase	reference
From 1956, the PTA played a significant role in the successful development of meteorological rockets RM (Rakieta Meteorologiczna), which became the first Polish rocket to enable scientific research.	From 1956, a significant role was played by the PTA in the successful development of meteorological rockets RM (Rakieta Meteorologiczna), which became the first Polish rocket to enable scientific research.	Seit 1956 beteiligte sich die PTA maßgeblich an der Entwicklung der äußerst erfolgreichen meteorologischen Rakete (Rakieta Meteorologiczna), der ersten polnischen Rakete für die wissenschaftliche Forschung.
Last week the Constitutional Court abolished the law on public works.	Last week the law was abolished by the Constitutional Court on public works.	In der vergangenen Woche hob das Verfassungsgericht das Gesetz über gemeinnützige Arbeiten auf.
In other words, governments stake their own citizens because of private capital while disregarding the drop in social standards.	In other words, their own citizens are staked by governments because of private capital while disregarding the drop in social standards.	Mit anderen Worten: Die Regierungen liefern die eigene Bevölkerung ohne Rücksicht auf die sozialen Folgen dem Privatkapital aus.
The Czech Republic thereafter exceeded, for instance, the permitted volume of mushroom preserves, which incurred a high penalty.	The permitted volume of mushroom preserves , which incurred a high penalty was thereafter exceeded, for instance, by the Czech Republic.	Tschechien überschritt dann z.B. das festgelegte Volumen für Pilzkonserven, wofür uns eine hohe Geldstrafe drohte.
I had no ambition to be a politician.	No ambition to be a politician was had by me.	Ich hatte keine Ambitionen, Politiker zu werden.
This does not inspire much confidence.	Much confidence is not inspired by this.	Das ist nicht gerade überzeugend.
I have no obligation to pay for my own campaign.	No obligation to pay for my own campaign is had by me.	Und ich bin nicht verpflichtet, die Kampagne aus eigenen Mitteln zu bestreiten.
"Szabo: ""Germans must play a greater role"""	"Szabo: ""a greater role is played by Germans"""	"Szabo: ""Deutsche müssen größere Rolle spielen"""
Nonetheless, it is enjoying protection, provided the actual creators of the names do not sue.	Nonetheless, protection is being enjoyed by it, provided the actual creators of the names do not sue.	Dennoch genießt sie so lange Schutz, wie die eigentlichen Namensgeber nicht klagen.
In 2009, Daimler lost a legal battle with the construction machinery manufacturer Sany, the company that recently acquired German concrete pump manufacturer Putzmeister.	In 2009, a legal battle with the construction machinery manufacturer Sany , the company that recently acquired German concrete pump manufacturer Putzmeister was lost by Daimler.	2009 verlor Daimler einen Rechtsstreit mit dem Baumaschinenhersteller Sany, jenem Unternehmen, das kürzlich den deutschen Betonpumpenbauer Putzmeister übernahm.
The CTMO trademark office then also dismissed the Munich-based company's appeal.	The Munich - based company 's appeal was then also dismissed by the CTMO trademark office.	Das Markenamt CTMO wies den Einspruch der Münchner denn auch zurück.
"Five years ago Freudenberg unsuccessfully offered the opposing party a ""high six-figure sum in euros"" as settlement."	"Five years ago a "" high six - figure sum in euros "" as settlement was unsuccessfully offered to the opposing party by Freudenberg."	"Vor fünf Jahren bot Freudenberg der Gegenseite vergeblich einen ""hohen sechsstelligen Eurobetrag"" zur Beilegung an."
70 of these attend a secondary school.	A secondary school is attended by 70 of these.	70 von ihnen besuchen eine weiterführende Schule.
Condoms can reduce the risk of contraction, however, they do not offer 100% protection.	Condoms can reduce the risk of contraction, however, 100 % protection is not offered by them.	Kondome können das Risiko einer Ansteckung mindern, bieten aber keinen hundertprozentigen Schutz.
Messenger: NASA discovers ice on Mercury	Messenger: ice is discovered by NASA on Mercury	Messenger: NASA entdeckt Eis auf dem Merkur
The temperature on Mercury can reach up to 426 degrees Celsius.	Up to 426 degrees Celsius could be reached by the temperature on Mercury.	Die Temperatur auf dem Merkur kann bis zu 426 Grad Celsius erreichen.
The photo taken by the Hubble space telescope shows a section of the Iris Nebula in the Cepheus constellation.	A section of the Iris Nebula in the Cepheus constellation is shown by the photo taken by the Hubble space telescope.	Das Foto des Weltraumteleskops Hubble zeigt einen Ausschnitt aus dem Irisnebel im Sternbild Kepheus.
It shows a ring of black holes, 430 million light years away from the Earth.	A ring of black holes , 430 million light years away from the Earth is shown by it.	Es zeigt einen Ring aus schwarzen Löchern, 430 Millionen Lichtjahre von der Erde entfernt.
It enables views of space via two mirrors, each with a diameter of 8.4 metres.	Views of space are enabled by it via two mirrors, each with a diameter of 8.4 metres.	Es lässt Blicke ins All gleich über zwei Spiegel zu, jeder mit einem Durchmesser von 8,4 Metern.
In spite of this it achieves a diameter of around eleven metres.	In spite of this a diameter of around eleven metres is achieved by it.	Trotzdem erreicht er einen Durchmesser von etwa elf Metern.
The Hobby Eberly telescope in Texas also has a fixed angle of inclination.	A fixed angle of inclination is also had by the Hobby Eberly telescope in Texas.	Auch das Hobby-Eberly-Teleskop in Texas ist im Höhenwinkel fixiert.
The image documents the final launch preparations on the Kepler space telescope.	The final launch preparations on the Kepler space telescope are documented by the image.	Im Bild sind die letzten Startvorbereitungen am Weltraumteleskop Kepler dokumentiert.
The primary mirror of the infrared space telescope has a diameter of 6.5 metres.	A diameter of 6.5 metres is had by the primary mirror of the infrared space telescope.	Der Primärspiegel des Weltrauminfrarotteleskops hat einen Durchmesser von 6,5 Metern.
In Southern Azerbaijan, many people reach biblical ages.	In Southern Azerbaijan, biblical ages are reached by many people.	Im Süden Aserbaidschans erreichen viele Menschen ein biblisch hohes Alter.
In Southern Azerbaijan, many people reach ages that can almost be considered biblical.	In Southern Azerbaijan, ages that can almost be considered biblical are reached by many people.	Im Süden Aserbaidschans erreichen viele Menschen ein biblisch hohes Alter.
At the age of 136 he fathered another child.	At the age of 136 another child was fathered by him.	Im Alter von 136 Jahren noch ein Kind gezeugt
The Azeri travel guide Farid Mugimzadeh explains this as being due to the special Talysh genetics.	This is Farid Mugimzadeh explained by the Azeri travel guide as being due to the special Talysh genetics.	Der aserische Reiseführer Farid Mugimzadeh erklärt das mit den besonderen Genen der Talyschen.
Mirzayeva receives 230 Manat (around the same sum in euros) per month as her pension, which in a local context is an amount on which one can live comfortably.	230 Manat is received by mirzayeva (around the same sum in euros) per month as her pension, which in a local context is an amount on which one can live comfortably.	230 Manat (etwa die gleiche Summe in Euro), erhält Mirzayeva monatlich als Rente, für hiesige Verhältnisse ein Betrag, von dem man gut leben kann.
Competing demonstrations in Cairo reveal the deep division within the country.	The deep division within the country is revealed by competing demonstrations in Cairo.	Rivalisierende Kundgebungen in Kairo offenbaren die tiefe Spaltung des Landes.
We must make the transition.	The transition is made by us.	Wir müssen den Übergang schaffen.
"Via SMS service Twitter, he accused Mursi's followers of wanting to lead ""a coup against democracy."""	"Via SMS service Twitter, Mursi 's followers were accused by him of wanting to lead ""a coup against democracy."""	"Via Kurznachrichtendienst Twitter bezichtigte er die Anhänger Mursis, einen ""Putsch gegen die Demokratie"" führen zu wollen."
The drink can kill the smell.	The smell could be killed by the drink.	Die Spirituose kann den Geruch verdrängen.
I try a few pieces.	A few pieces are tried by me.	Ich koste einige Häppchen.
We are not very showy, we do not like ostentation.	We are not very showy, ostentation is not liked by us.	Wir sind nicht sehr angeberisch, wir mögen keine Prahlerei.
"""My government has a great commitment to the Mexican people to reduce the violence,"" Mr Pena Nieto told US President Barack Obama in the Oval Office earlier this week."	"""My government has a great commitment to the Mexican people to reduce the violence,"" US President Barack Obama was told by Mr Pena Nieto in the Oval Office earlier this week."	"""Meine Regierung engagiert sich stark dafür, die Gewalt zu reduzieren"", erklärte Pena Nieto Anfang dieser Woche im Oval Office dem US-amerikanischen Präsidenten Barack Obama."
I will be proposing a new security strategy which will allow us to achieve that aim.	A new security strategy which will allow us to achieve that aim will be be proposed by me.	Ich werde eine neue Sicherheitsstrategie vorschlagen, mit der wir dieses Ziel erreichen können.
At worst, they accuse his administration of turning a blind eye.	At worst, his administration of turning a blind eye is accused by them.	Doch im schlimmsten Falle habe seine Regierung ihre Augen vor dem Problem verschlossen.
According to the official version of events, Mariana committed suicide in 2010.	According to the official version of events, suicide was committed by Mariana in 2010.	Der offiziellen Version der Ereignisse zufolge beging Mariana 2010 Selbstmord.
While cross-examining Manning at a pre-trial hearing at Ft. Meade, Maryland, prosecutor Maj. Ashden Fein asserted that records of weekly visits Manning had with unit officers during nine months of detention at Quantico, Virginia, show no complaints about his treatment.	While cross-examining Ashden Fein is at a pre-trial hearing at Ft. Meade, Maryland, prosecutor Maj. by Manning asserted that records of weekly visits Manning had with unit officers during nine months of detention at Quantico, Virginia, shown no complaints about his treatment.	Bei einem Kreuzverhör Mannings während einer vorgerichtlichen Anhörung in Ft. Meade, Maryland erklärte Maj. Ashden Fein, dass Unterlagen zu wöchentlichen Besuchen, die Gefängnisbeamte während Mannings neunmonatiger Haftzeit in Quantico, Virginia vorgenommen hatten, keinerlei Beschwerden über seine Behandlung aufwiesen.
Meanwhile, Israel's hardliners will draw the opposite conclusions.	Meanwhile, the opposite conclusions will be drawn by Israel 's hardliners.	Die israelischen Hardliner hingegen lassen eine entgegengesetzte Schlussfolgerung ziehen.
Bloody missions against Gaza every few years to knock back Hamas will exact a growing diplomatic toll.	A growing diplomatic toll will be exacted by bloody missions against Gaza every few years to knock back Hamas.	Blutige Missionen zur Zurückdrängung der Hamas im Gaza-Streifen werden über die Jahre zunehmend ihren diplomatischen Tribut fordern.
I just ignore them.	They are just ignored by me.	Ich ignoriere sie einfach.
It forces the brain to go on interesting tangents, perhaps fostering creativity.	The brain is forced by it to go on interesting tangents, perhaps fostering creativity.	Damit wird das Gehirn gezwungen, sich in interessanten Gedankengängen zu verlieren, was womöglich die Kreativität fördert.
We all experience boredom at some points - my flight delay, a droning speaker, a particularly tedious movie.	Boredom is all experienced by us at some points - my flight delay, a droning speaker, a particularly tedious movie.	Uns allen wird irgendwann einmal langweilig - mein verspäteter Flug, ein dröhnender Lautsprecher, ein besonders ermüdender Film.
"To help measure this, researchers developed a ""Boredom Proneness Scale"" in the 1980s."	"To help measure this, a "" Boredom Proneness Scale "" was developed by researchers in the 1980s."	"Um diese Unterschiede zu messen, entwickelten Forscher in den 1980er Jahren eine ""Skala zur Langeweileanfälligkeit""."
Even before Election Day, some local governments approved moratoriums on any new marijuana shops, even though it will be about a year before any can open.	Even before Election Day, moratoriums on any new marijuana shops were approved by some local governments, even though it will be about a year before any can open.	Noch vor dem Wahltag genehmigten einige örtliche Gemeindeverwaltungen Moratorien für neue Marihuana-Geschäfte, obwohl diese erst in etwa einem Jahr öffnen könnten.
Tears pricked the back of my eyes.	The back of my eyes was pricked by tears.	In meinen Augen wallten Tränen auf.
I walked back to my rooms a disconsolate figure.	A disconsolate figure was walked back to my rooms by me.	Ich kehrte mit hängendem Kopf in mein Zimmer zurück.
Other students took up the refrain.	The refrain was taken up by other students.	Andere Studenten teilten seine Meinung.
They wouldn't do that, not among my dreaming spires.	That is not done by them, not among my dreaming spires.	So etwas würden sie nie tun, nicht in meiner Stadt der träumenden Turmspitzen.
At the time, he wrote two columns in the Murdoch press each week.	At the time, two columns in the Murdoch press were written by him each week.	Zu jener Zeit schrieb er pro Woche zwei Kolumnen in der Murdoch-Presse.
"During the inauguration of ""Valentino: Master of Couture,"" the designer acknowledged a retrospective apotheosis that brings together over 130 couture gowns created by his fashion house over the past 50 years."	"During the inauguration of ""Valentino: Master of Couture,"" a retrospective apotheosis that brings together over 130 couture gowns created by his fashion house over the past 50 years was acknowledged by the designer."	"Dies hat der Designer bei der Eröffnung von ""Valentino - Meister der Couture"" anerkannt, einer grandiosen Retrospektive, für die mehr als 130 Kleider der Haute Couture zusammengestellt wurden, die von seinem ""Maison"" in den letzten 50 Jahren geschaffen wurden."
The Argentine model Valeria Mazza also recalls the couturier's charisma.	The couturier 's charisma is also recalled by the Argentine model Valeria Mazza.	Auch das argentinische Modell Valeria Mazza vergisst das Charisma des Modemachers nicht.
I bought my first Valentino dress to wear at a party in the castle belonging to my cousin, Prince Edouard de Ligne.	My first Valentino dress was bought by me to wear at a party in the castle belonging to my cousin, Prince Edouard de Ligne.	Ich kaufte mir mein erstes Valentino-Kleid für ein Fest im Schloss meines Vetters, dem Prinz Edouard de Ligne.
Some 400 porters carry sulphur baskets on their shoulders from the crater.	Sulphur baskets are carried by some 400 porters on their shoulders from the crater.	Ungefähr 400 Träger laden sich am Kraterboden die Körbe mit Schwefel auf ihre Schultern.
The victim, according to José, did not close his account.	His account was not, according to José, closed by the victim.	Laut José hat das Opfer das Benutzerkonto nicht geschlossen.
He then explains a series of steps to configure the account safely.	A series of steps to configure the account safely is then explained by him.	Danach erläutert er eine Reihe von Schritten, um ein Benutzerkonto sicher zu konfigurieren.
To this end, he defended the project to establish South American citizenship encouraged by member countries of UNASUR.	To this end, the project was defended by him to establish South American citizenship encouraged by member countries of UNASUR.	In diesem Sinne verteidigte er das Projekt, eine südamerikanische Staatsbürgerschaft zu schaffen, die die Mitgliederstaaten der Unasur vorantreiben.
The boy hid it from his family.	It was hidden by the boy from his family.	Er versteckte es vor seiner Familie.
This is not promoting promiscuity.	Promiscuity is not being promoted by this.	Es soll nicht die Promiskuität gefördert werden.
However, Mexican law recognises the possibility.	However, the possibility is recognised by Mexican law.	Allerdings wird diese Möglichkeit von den mexikanischen Gesetzen anerkannt.
"Few people in Puerto Rico have a mental recollection of local basketball history as broad as that of Héctor ""Hetin"" Reyes."	"A mental recollection of local basketball history is had by few people in Puerto Rico as broad as that of Héctor ""Hetin"" Reyes."	"Wenige in Puerto Rico verfügen über eine so große geistige Sammlung der Geschichte des Basketballs des Landes wie Héctor ""Hetin"" Reyes."
I remember him saying that if Mincy had given Bayamon one championship, Gausse would help get another.	He is remembered by me saying that if Mincy had given Bayamon one championship, Gausse would help get another.	Ich weiß noch, wie er sagte, dass, wenn Mincy eine Meisterschaft für Bayamon ermöglicht hatte, Gausse für eine weitere sorgen würde.
I enjoy it.	It is enjoyed by me.	Ich genieße es.
If the pedestrian presses the button at the traffic lights, the top radar sensor checks the traffic status.	If the pedestrian presses the button at the traffic lights, the traffic status is checked by the top radar sensor.	Drückt der Fußgänger den Ampelknopf, testet der obere Radarsensor die Verkehrslage.
If the street is clear, the pedestrian obtains a green light immediately, if not, there is a delay of around 15 seconds.	If the street is clear, a green light is obtained by the pedestrian immediately, if not, there is a delay of around 15 seconds.	Ist die Straße frei, kommt unmittelbar Grün für den Fußgänger, wenn nicht, dauert es etwa 15 Sekunden.
However, the source text makes barely any reference to this intense delivery.	However, barely any reference to this intense delivery is made by the source text.	Der Text vermittelt sich auf diese angestrengte Weise jedoch kaum.
Wonks call it a mileage-based user fee.	It is called by wonks a mileage-based user fee.	Bürokraten bezeichnen es als meilenbasierte Benutzergebühr.
The U.S. Senate approved a $ 90-million pilot project last year that would have involved about 10,000 cars.	A $ 90-million pilot project last year that would have involved about 10,000 cars was approved by the U.S. Senate.	Der US-Senat genehmigte letztes Jahr ein 90 Millionen Dollar teures Pilotprojekt, das 10.000 Autos umfasst hätte.
He also praised the family-friendly approach within the district.	The family - friendly approach within the district was also praised by him.	Außerdem lobte er die Familienfreundlichkeit im Landkreis.
On the basis of an expert study, this government is urging the reorganisation of the five music colleges in Baden-Wuerttemberg.	On the basis of an expert study, the reorganisation of the five music colleges in Baden - Wuerttemberg is being urged by this government.	Diese forciert auf der Basis einer Expertenstudie eine Neuordnung der fünf Musikhochschulen in Baden-Württemberg.
All three face a maximum penalty of life imprisonment, according to the authorities.	A maximum penalty of life imprisonment is faced by all three, according to the authorities.	Allen dreien droht als Höchststrafe lebenslanger Freiheitsentzug, wie Beamte sagten.
They will do anything to make it to the USA.	Anything to make it to the USA will be done by them.	Sie würden alles tun, um in die USA zu gelangen.
They can expect prison terms of up to ten years.	Prison terms of up to ten years could be expected by them.	Sie müssen mit Haftstrafen bis zu zehn Jahren rechnen.
"This was the subject of controversial discussion in the Town Council, as some council members cast doubt over the need to widen the road: Thomas Kipp summarised the perspective of the critics with this statement: ""Do we have to hand over so much money on account of so few vehicles?"""	"This was the subject of controversial discussion in the Town Council, as some council members cast doubt over the need to widen the road: the perspective of the critics was summarised by Thomas Kipp with this statement: ""Do we have to hand over so much money on account of so few vehicles?"""	"Dies wurde im Gemeinderat kontrovers diskutiert, da einige Räte die Notwendigkeit einer Straßenverbreitung in Zweifel zogen: Thomas Kipp brachte mit seiner Äußerung die Stimmung der Kritiker auf den Punkt: ""Müssen wir wegen so wenigen Fahrzeugen so viel Geld in die Hand nehmen?"""
The Administrative Department had Deutsche Bahn's reconstruction plans investigated by the Breinlinger Engineering Office, as they had doubts as to whether the planned connection of the Geroltzhäuser Weg will be straightforward.	Deutsche Bahn 's reconstruction plans investigated by the Breinlinger Engineering Office were had by the Administrative Department, as they had doubts as to whether the planned connection of the Geroltzhäuser Weg will be straightforward.	Die Verwaltung hatte die Umbaupläne der Bahn vom Ingenieurbüro Breinlinger untersuchen lassen, da sie Zweifel daran hatte, ob der geplante Anschluss des Geroltzhäuser Wegs dann noch ohne weiteres möglich sei.
A large infra-red telescope in space could penetrate this darkness.	This darkness could be penetrated by a large infra - red telescope in space.	Ein großes Infrarotteleskop im All könnte dieses Dunkel durchdringen.
Many physicians perceive this to entail changes in the structure of space-time, which Albert Einstein predicted almost 100 years ago.	This is perceived by many physicians to entail changes in the structure of space-time, which Albert Einstein predicted almost 100 years ago.	Darunter verstehen Physiker Änderungen in der Struktur der Raumzeit, die Albert Einstein vor fast 100 Jahren vorausgesagt hatte.
Mr Ströbele, an MP for Germany's Green party, published a picture of himself with Mr Snowden on his Twitter feed.	A picture of himself was published by mr Ströbele , an MP for Germany 's Green party , with Mr Snowden on his Twitter feed.	Ströbele, ein Abgeordneter der Grünen, veröffentlichte ein Bild von sich und Snowden in seinem Twitter-Feed.
It will still give away water.	Water will be still given away by it.	Wasser ist weiterhin kostenlos.
On Wednesday it slashed the mileage award to 25 percent of the miles of the trip.	On Wednesday the mileage award was slashed by it to 25 percent of the miles of the trip.	Am Mittwoch wurden die Meilen noch einmal auf 25 Prozent der Flugstrecke gekürzt.
At least 40 women attended the last women's breakfast of the year, in the Evangelical Parish of Bisingen.	The last women 's breakfast of the year was attended by at least 40 women, in the Evangelical Parish of Bisingen.	Gut 40 Frauen besuchten das letzte Frauenfrühstück dieses Jahres in der evangelischen Kirchengemeinde Bisingen.
Such growing controversy surrounding the agency prompted early speculation that tonight's incident was the result of a targeted cyber operation.	Early speculation that tonight 's incident was the result of a targeted cyber operation was prompted by such growing controversy surrounding the agency.	Die wachsende Kontroverse um den Geheimdienst befeuerte anfängliche Spekulationen darüber, der Zwischenfall heute sei das Ergebnis einer gezielten Cyperoperation.
Every manufacturer schedules it in a different way.	It is scheduled by every manufacturer in a different way.	Jeder Hersteller plant anders.
On Friday morning (local time) an unknown suspect fired shots at the LAX Airport.	On Friday morning (local time) shots were fired by an unknown suspect at the LAX Airport.	Ein Unbekannter hat am Freitagvormittag (Ortszeit) am LAX-Flughafen Schüsse abgefeuert.
Terminal 3 serves mainly small US airlines.	Mainly small US airlines are served by terminal 3.	Terminal 3 wird vor allem von kleineren US-Fluggesellschaften bedient.
He thwarted the police's investigation as much as possible to enable them to continue in their criminal activities.	The police 's investigation was thwarted by him as much as possible to enable them to continue in their criminal activities.	Er wirkte den polizeilichen Ermittlungen soweit wie möglich entgegen, sodass sie weiterhin ihren kriminellen Aktivitäten nachgehen konnten.
"Following the great success of the musical, ""Rock my Life"", which enthused audiences this past Spring, the Liederkranz will bless two church services with the performance of Franz Schubert's Deutsche Messe, to close its anniversary year celebrations."	"Following the great success of the musical, ""Rock my Life"", which enthused audiences this past Spring, two church services will be blessed by the Liederkranz with the performance of Franz Schubert's Deutsche Messe, to close its anniversary year celebrations."	"Nach dem großen Erfolg des Musicals ""Rock my Life"", das die Zuschauer im Frühjahr diesen Jahres begeisterte, wird der Liederkranz zum Abschluss des Jubiläumsjahres zwei Gottesdienste mit der Aufführung der Deutschen Messe von Franz Schubert bereichern."
The 2015 Parish Council elections will bring about fundamental change, for example in the Haslach Pastoral Care Unit (Seelsorgeeinheit Haslach, SE).	Fundamental change will be brought about by the 2015 Parish Council elections, for example in the Haslach Pastoral Care Unit (Seelsorgeeinheit Haslach, SE).	Mit den Wahlen zum Pfarrgemeinderat 2015 wird sich beispielsweise in der Seelsorgeeinheit Haslach (SE) Grundlegendes ändern.
Regional Dean Georg Schmitt explained the newly drawn-up guidelines for pastoral care units in the arch-diocese of Freiburg with the help of   a presentation.	The newly drawn - up guidelines for pastoral care units in the arch - diocese of Freiburg were explained by regional Dean Georg Schmitt with the help of    a presentation.	Regionaldekan Georg Schmitt erläuterte anhand einer Präsentation die neu gefassten Richtlinien für Seelsorgeeinheiten in der Erzdiözese Freiburg.
At the end, Parish Counsellor Michael Schöner from Steinach presented the new logo of the pastoral care unit, which was agreed on by a clear majority.	At the end, the new logo of the pastoral care unit , which was agreed on by a clear majority was presented by Parish Counsellor Michael Schöner from Steinach.	Am Ende präsentierte Pfarrgemeinderat Michael Schöner aus Steinach das neue Logo der Seelsorgeeinheit, dem mit deutlicher Mehrheit zugestimmt wurde.
The Pfullendorf municipal energy company forms the last link in this chain.	The last link in this chain is formed by the Pfullendorf municipal energy company.	Die Stadtwerke Pfullendorf bilden das letzte Glied in dieser Kette.
Furthermore, the winner must provide a number of hard-working building helpers.	Furthermore, a number of hard - working building helpers is provided by the winner.	Darüber hinaus muss der Gewinner selbst für viele fleißige Bauhelfer sorgen.
With the support of the Sparkasse Zollernalb, Bauhaus will be providing the materials.	With the support of the Sparkasse Zollernalb, the materials will be be provided by Bauhaus.	Bauhaus stellt mit Unterstützung der Sparkasse Zollernalb das Material zur Verfügung.
The tribunal also has the power to seize the property of an offender if a fine is not paid.	The power to seize the property of an offender if a fine is not paid is also had by the tribunal.	Das Tribunal hat außerdem das Recht, den Besitz der Betroffenen zu beschlagnahmen, wenn eine Strafe nicht bezahlt wird.
The spry pensioners laid 400 square metres of flagging for the new paths.	400 square metres of flagging for the new paths were laid by the spry pensioners.	Die rüstigen Rentner verlegten 400 Quadratmeter Pflastersteine für die neuen Wege.
The SPD would like to put an end to the pressure placed on immigrant children to decide on one nationality - the Union rejects the notion of a dual passport.	The SPD would like to put an end to the pressure placed on immigrant children to decide on one nationality - the notion of a dual passport is rejected by the Union.	Die SPD möchte den Zwang für in Deutschland geborene Zuwandererkinder, sich für eine zu entscheiden, beenden - die Union lehnt einen Doppelpass ab.
Regarding the subject of traffic, which was not on the agenda for this Friday, the SPD substantiated its opposition to a car toll charge promoted by the CSU.	Regarding the subject of traffic, which was not on the agenda for this Friday, its opposition to a car toll charge promoted by the CSU was substantiated by the SPD.	Beim Thema Verkehr, das an diesem Freitag nicht auf der Tagungsordnung steht, untermauerte die SPD ihr Nein zu einer von der CSU geforderten Pkw-Maut.
This scores maximum points.	Maximum points are scored by this.	Das wird mit den meisten Punkten bewertet.
The Vegetarian Association will provide further examples on World Vegan Day on 1 November.	Further examples will be provided by the Vegetarian Association on World Vegan Day on 1 November.	Weitere nennt der Vegetarierbund zum Weltvegantag am 1. November.
On the occasion of World vegan Day on 1 November, the Vegetarian Association of Germany will propose a host of vegan alternatives:	On the occasion of World vegan Day on 1 November, a host of vegan alternatives will be proposed by the Vegetarian Association of Germany:	Der Vegetarierbund Deutschland schlägt anlässlich des Weltvegantags am 1. November eine Reihe von veganen Alternativen vor:
Plant whipping cream can replace traditional whipping cream.	Traditional whipping cream could be replaced by plant whipping cream.	Aufschlagbare Pflanzensahne ersetze herkömmliche Schlagsahne.
Half a mashed, ripe banana, for example, can replace an egg as a binding agent in a cake.	An egg, for example, could be replaced by half a mashed , ripe banana as a binding agent in a cake.	Eine halbe zerdrückte, reife Banane zum Beispiel kann ein Ei als Bindemittel in einem Kuchen ersetzen.
A glance into the internal workings at Opschlag 8 gives the onlooker a positive feeling right from the outset.	A positive feeling right from the outset is given to the onlooker by a glance into the internal workings at Opschlag 8.	Ein Blick ins Innenleben am Opschlag 8 gibt dem Betrachter auf Anhieb ein gutes Gefühl.
"In the clubhouse at the ""Witteborg"" Inn in Dinker, all those present enjoyed the friendly get-together in the name of music."	"In the clubhouse at the ""Witteborg"" Inn in Dinker, the friendly get - together in the name of music was enjoyed by all those present."	"Im Vereinslokal der Gaststätte ""Witteborg"" in Dinker genossen alle das harmonische Miteinander ganz im Zeichen der Musik."
I will spare no effort to implement the mandate given to me by member states to realise our vision of sustainable development goals that build on the success of the MDGs.	No effort to implement the mandate given to me by member states to realise our vision of sustainable development goals that build on the success of the MDGs will be spared by me.	Ich werde keine Mühen scheuen, dieses mir von den Mitgliedsstaaten erteilte Mandat umzusetzen, um unsere Vision der nachhaltigen Entwicklungsziele zu verwirklichen, die auf dem Erfolg der Millenniumsziele aufbauen.“
I trained many of the players myself in the A-Youth.	Many of the players myself were trained by me in the A-Youth.	Viele Spieler habe ich selber noch in der A-Jugend trainiert.
"Fearful about the future of her country, she swapped her corporate attire for a T-shirt emblazoned with ""we demand security"" in Portuguese as she joined the crowds in the capital's Independence Square on Thursday."	"Fearful about the future of her country, her corporate attire was swapped by her for a T-shirt emblazoned with ""we demand security"" in Portuguese as she joined the crowds in the capital's Independence Square on Thursday."	Aus Angst um die Zukunft des Landes hat sie ihre Geschäftskleidung gegen ein T-Shirt mit der Aufschrift „Wir fordern Sicherheit“ auf Portugiesisch eingetauscht und sich am Donnerstag der Menge auf dem Unabhängigkeitsplatz der Hauptstadt angeschlossen.
The government blames Renamo for triggering the clashes, accusing it of attacking soldiers.	Renamo is blamed by the government for triggering the clashes, accusing it of attacking soldiers.	Die Regierung gibt Renamo die Schuld für die Zusammenstöße und beschuldigt die Organisation, Soldaten angegriffen zu haben.
In June, Rio suspended its use of the railway for about a week after Renamo threatened to attack the line.	In June, its use of the railway was suspended by Rio for about a week after Renamo threatened to attack the line.	Im Juni unterbrach Rio einen Monat lang die Nutzung der Eisenbahn, nachdem Renamo einen Angriff auf die Strecke angekündigt hatte.
Between the individual scenes, the Mühlenbacher Bauernkapelle played appropriately selected musical pieces, thus rounding off the performance.	Between the individual scenes, appropriately selected musical pieces were played by the Mühlenbacher Bauernkapelle, thus rounding off the performance.	Zwischen den einzelnen Spielszenen spielte die Mühlenbacher Bauernkapelle passend ausgewählte Musikstücke und rundete damit die Aufführung ab.
Endurance pays dividends	Dividends are paid by endurance	Langer Atem macht sich bezahlt
They stockpile the coal that arrives on ships.	The coal that arrives on ships is stockpiled by them.	Sie verteilen die von den Schiffen kommende Kohle auf die Halde.
We built this festival as a way of continuing to work with them.	This festival was built by us as a way of continuing to work with them.	Wir haben dieses Festival konzipiert, damit wir weiter mit ihnen arbeiten können.
The older of the pair cited a rivalry on the football field as the motive.	A rivalry on the football field was cited by the older of the pair as the motive.	Als Grund nannte der Ältere unter anderem eine Rivalität im Fußballspiel.
In subsequent hearings, the victims confirmed their ordeal.	In subsequent hearings, their ordeal was confirmed by the victims.	In späteren Vernehmungen hätten die Geschädigten ihr Martyrium bestätigt.
In 2004, he visited the Cheijk-Zajed Hospital in Nouakchott in Mauritania for the first time.	In 2004, the Cheijk - Zajed Hospital in Nouakchott in Mauritania was visited by him for the first time.	Er selbst war im Jahr 2004 das erste Mal in Mauretanien im Cheijk-Zajed-Krankenhaus in Nouakchott.
"Prosecutor Andrew Edis QC told the Old Bailey that the News of the World heard a false rumour in May 2005 that Clarke was seeing his ""attractive special adviser,"" Hannah Pawlby."	"The Old Bailey was told by prosecutor Andrew Edis QC that the News of the World heard a false rumour in May 2005 that Clarke was seeing his ""attractive special adviser,"" Hannah Pawlby."	Staatsanwalt Andrew Edis QC erklärte dem Gericht im Old Bailey, News of the World habe im Mai 2005 ein falsches Gerücht dahingehend gehört, dass Clarke ein Verhältnis mit seiner „attraktiven Sonderberaterin“ Hannah Pawlby hätte.
You could call him the Dostoevsky of the USA.	He could be called by you the Dostoevsky of the USA.	Man könnte ihn den Dostojewski der USA nennen.
It devises its own conditions.	Its own conditions are devised by it.	Es erfindet seine eigenen Voraussetzungen.
NSA revelations boost corporate paranoia about state surveillance	Corporate paranoia about state surveillance is boosted by nsa revelations	NSA-Enthüllungen verstärken Firmenparanoia wegen staatlicher Überwachung
